date,commod_sub,place,priceF_m_baht_100p,priceF_m_baht_kg,priceF_m_baht_ton,commod_gr,commod
1989-12-31,มันสำปะหลัง,ประเทศ,,0.64,640.0,พืชไร่,มันสำปะหลัง
1989-12-31,สับปะรดโรงงาน,ประเทศ,,1.4,1400.0,พืชไร่,สับปะรดโรงงาน
1989-12-31,มะพร้าว,ประเทศ,229.0,1.832,1832.0,พืชยืนต้น,มะพร้าว
1989-12-31,ยางพารา,ประเทศ,,15.69,15690.0,พืชยืนต้น,ยางพารา
1989-12-31,กาแฟ,ประเทศ,,19.15,19150.0,พืชยืนต้น,กาแฟ
1989-12-31,กระเทียม,ประเทศ,,3.5,3500.0,พืชผัก,กระเทียม
1989-12-31,หอมแดง,ประเทศ,,8.75,8750.0,พืชผัก,หอมแดง
1989-12-31,สุกร,ประเทศ,,25.61,25610.0,ปศุสัตว์,สุกร
1989-12-31,ไก่เนื้อ,ประเทศ,,22.32,22320.0,ปศุสัตว์,ไก่เนื้อ
1989-12-31,ไข่ไก่,ประเทศ,132.0,1.056,1056.0,ปศุสัตว์,ไข่ไก่
1990-01-31,ข้าวหอมมะลิ,ประเทศ,,4.156,4156.0,พืชไร่,ข้าว
1990-01-31,ข้าวเจ้าอื่น,ประเทศ,,3.865,3865.0,พืชไร่,ข้าว
1990-01-31,ข้าวเหนียว,ประเทศ,,3.193,3193.0,พืชไร่,ข้าว
1990-01-31,ข้าวนาปี,ประเทศ,,3.592,3592.0,พืชไร่,ข้าว
1990-01-31,ข้าวโพดเลี้ยงสัตว์,ประเทศ,,2.97,2970.0,พืชไร่,ข้าวโพดเลี้ยงสัตว์
1990-01-31,มันสำปะหลัง,ประเทศ,,0.72,720.0,พืชไร่,มันสำปะหลัง
1990-01-31,สับปะรดโรงงาน,ประเทศ,,1.39,1390.0,พืชไร่,สับปะรดโรงงาน
1990-01-31,มะพร้าว,ประเทศ,232.0,1.856,1856.0,พืชยืนต้น,มะพร้าว
1990-01-31,ยางพารา,ประเทศ,,16.36,16360.0,พืชยืนต้น,ยางพารา
1990-01-31,กาแฟ,ประเทศ,,20.7,20700.0,พืชยืนต้น,กาแฟ
1990-01-31,กระเทียม,ประเทศ,,3.88,3880.0,พืชผัก,กระเทียม
1990-01-31,หอมหัวใหญ่,ประเทศ,,7.25,7250.0,พืชผัก,หอมหัวใหญ่
1990-01-31,สุกร,ประเทศ,,24.87,24870.0,ปศุสัตว์,สุกร
1990-01-31,ไก่เนื้อ,ประเทศ,,23.95,23950.0,ปศุสัตว์,ไก่เนื้อ
1990-01-31,ไข่ไก่,ประเทศ,130.0,1.04,1040.0,ปศุสัตว์,ไข่ไก่
1990-02-28,ข้าวหอมมะลิ,ประเทศ,,4.339,4339.0,พืชไร่,ข้าว
1990-02-28,ข้าวเจ้าอื่น,ประเทศ,,4.002,4002.0,พืชไร่,ข้าว
1990-02-28,ข้าวเหนียว,ประเทศ,,3.293,3293.0,พืชไร่,ข้าว
1990-02-28,ข้าวนาปี,ประเทศ,,3.704,3704.0,พืชไร่,ข้าว
1990-02-28,ข้าวโพดเลี้ยงสัตว์,ประเทศ,,3.04,3040.0,พืชไร่,ข้าวโพดเลี้ยงสัตว์
1990-02-28,มันสำปะหลัง,ประเทศ,,0.69,690.0,พืชไร่,มันสำปะหลัง
1990-02-28,สับปะรดโรงงาน,ประเทศ,,1.19,1190.0,พืชไร่,สับปะรดโรงงาน
1990-02-28,มะพร้าว,ประเทศ,244.0,1.952,1952.0,พืชยืนต้น,มะพร้าว
1990-02-28,ยางพารา,ประเทศ,,17.05,17050.0,พืชยืนต้น,ยางพารา
1990-02-28,กาแฟ,ประเทศ,,21.01,21010.0,พืชยืนต้น,กาแฟ
1990-02-28,กระเทียม,ประเทศ,,3.44,3440.0,พืชผัก,กระเทียม
1990-02-28,หอมแดง,ประเทศ,,6.0,6000.0,พืชผัก,หอมแดง
1990-02-28,หอมหัวใหญ่,ประเทศ,,4.63,4630.0,พืชผัก,หอมหัวใหญ่
1990-02-28,สุกร,ประเทศ,,24.38,24380.0,ปศุสัตว์,สุกร
1990-02-28,ไก่เนื้อ,ประเทศ,,24.77,24770.0,ปศุสัตว์,ไก่เนื้อ
1990-02-28,ไข่ไก่,ประเทศ,130.0,1.04,1040.0,ปศุสัตว์,ไข่ไก่
1990-03-31,ข้าวหอมมะลิ,ประเทศ,,4.328,4328.0,พืชไร่,ข้าว
1990-03-31,ข้าวเจ้าอื่น,ประเทศ,,4.033,4033.0,พืชไร่,ข้าว
1990-03-31,ข้าวเหนียว,ประเทศ,,3.249,3249.0,พืชไร่,ข้าว
1990-03-31,ข้าวนาปี,ประเทศ,,3.763,3763.0,พืชไร่,ข้าว
1990-03-31,ข้าวโพดเลี้ยงสัตว์,ประเทศ,,3.1,3100.0,พืชไร่,ข้าวโพดเลี้ยงสัตว์
1990-03-31,มันสำปะหลัง,ประเทศ,,0.62,620.0,พืชไร่,มันสำปะหลัง
1990-03-31,สับปะรดโรงงาน,ประเทศ,,1.15,1150.0,พืชไร่,สับปะรดโรงงาน
1990-03-31,มะพร้าว,ประเทศ,249.0,1.992,1992.0,พืชยืนต้น,มะพร้าว
1990-03-31,ยางพารา,ประเทศ,,16.7,16700.0,พืชยืนต้น,ยางพารา
1990-03-31,กาแฟ,ประเทศ,,21.7,21700.0,พืชยืนต้น,กาแฟ
1990-03-31,กระเทียม,ประเทศ,,4.45,4450.0,พืชผัก,กระเทียม
1990-03-31,หอมแดง,ประเทศ,,6.5,6500.0,พืชผัก,หอมแดง
